primary_key;order_reference;code_cip_id;salesrep_id;article_code;article_name;quantity;unit_price;discount;net_revenue;order_date;
19586;2005201635S0001;2213034;26;5064;Cœur d'Aloe Cube;60;;0%;;2020-05-22;
19587;2005201635S0001;2213034;26;5065;Totem Double Face;1;;0%;;2020-05-22;
19588;2005201635S0001;2213034;26;5150;Pop-Up Coeur D’Aloe Cube Offre Consommateur;1;;0%;;2020-05-22;
19589;2005201635S0001;2213034;26;5153;Présentoir de Sol Gamme Aloe;1;;0%;;2020-05-22;
19590;2005201635S0001;2213034;26;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;;0%;;2020-05-22;
19591;2005201635S0001;2213034;26;5155;Présentoir de Comptoir Aloe-Oil;1;;0%;;2020-05-22;
19592;2005201635S0001;2213034;26;5156;Brochure Gamme Aloe Vera;50;;0%;;2020-05-22;
19593;2005201635S0001;2213034;26;5177;Echantillon Nutri-Pulpe;50;;0%;;2020-05-22;
19594;2005201635S0001;2213034;26;5586;Echantillon Pur Gel;50;;0%;;2020-05-22;
19595;2005201635S0001;2213034;26;5869;Echantillon Nutri-Pulpe Goût Pêche Blanche;50;;0%;;2020-05-22;
19596;2005201446S0001;2212245;26;Vide;Vide;50;823.23;38%;510.4;2020-05-22;
19597;2005201446S0001;2212245;26;5046;Nutri-Pulpe 1000ml - 8.026.380.050.468;6;24.9;38%;92.63;2020-05-22;
19598;2005201446S0001;2212245;26;5047;Nutri-Pulpe 500ml - 8.026.380.050.475;6;16.9;38%;62.87;2020-05-22;
19599;2005201446S0001;2212245;26;5048;Nutri-Pulpe Pêche Blanche 1000ml - 8.026.380.050.482;6;24.9;38%;92.63;2020-05-22;
19600;2005201446S0001;2212245;26;5049;Nutri-Pulpe Pêche Blanche 500ml - 8.026.380.050.499;6;16.9;38%;62.87;2020-05-22;
19601;2005201446S0001;2212245;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;12;16.9;38%;125.74;2020-05-22;
19602;2005201446S0001;2212245;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;12;9.9;38%;73.66;2020-05-22;
19603;2005201446S0001;2212245;26;5151;Réglette De Linéaire Aloe Vera;1;;0%;;2020-05-22;
19604;2005201446S0001;2212245;26;5152;Présentoir de Comptoir Gamme Aloe;1;;0%;;2020-05-22;
19631;2005201439S0001;2006719;26;Vide;Vide;55;906.63;38%;562.11;2020-05-22;
19632;2005201439S0001;2006719;26;5046;Nutri-Pulpe 1000ml - 8.026.380.050.468;12;24.9;38%;185.26;2020-05-22;
19633;2005201439S0001;2006719;26;5047;Nutri-Pulpe 500ml - 8.026.380.050.475;12;16.9;38%;125.74;2020-05-22;
19634;2005201439S0001;2006719;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;12;16.9;38%;125.74;2020-05-22;
19635;2005201439S0001;2006719;26;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;12;8.9;38%;66.22;2020-05-22;
19636;2005201439S0001;2006719;26;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;6;15.9;38%;59.15;2020-05-22;
19637;2005201439S0001;2006719;26;5151;Réglette De Linéaire Aloe Vera;1;;0%;;2020-05-22;
19546;2505201533S0001;2211241;26;Vide;Vide;30;459.02;38%;284.59;2020-05-26;
19547;2505201533S0001;2211241;26;5046;Nutri-Pulpe 1000ml - 8.026.380.050.468;6;24.9;38%;92.63;2020-05-26;
19548;2505201533S0001;2211241;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;12;16.9;38%;125.74;2020-05-26;
19549;2505201533S0001;2211241;26;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;12;8.9;38%;66.22;2020-05-26;
19550;2505201307S0001;2211257;26;Vide;Vide;69;929.44;38%;576.25;2020-05-26;
19551;2505201307S0001;2211257;26;5047;Nutri-Pulpe 500ml - 8.026.380.050.475;12;16.9;38%;125.74;2020-05-26;
19552;2505201307S0001;2211257;26;5049;Nutri-Pulpe Pêche Blanche 500ml - 8.026.380.050.499;12;16.9;38%;125.74;2020-05-26;
19553;2505201307S0001;2211257;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;12;16.9;38%;125.74;2020-05-26;
19554;2505201307S0001;2211257;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;12;9.9;38%;73.66;2020-05-26;
19555;2505201307S0001;2211257;26;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;12;8.9;38%;66.22;2020-05-26;
19556;2505201307S0001;2211257;26;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;6;15.9;38%;59.15;2020-05-26;
19557;2505201307S0001;2211257;26;5151;Réglette De Linéaire Aloe Vera;1;;0%;;2020-05-26;
19558;2505201307S0001;2211257;26;5152;Présentoir de Comptoir Gamme Aloe;1;;0%;;2020-05-26;
19559;2505201307S0001;2211257;26;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;;0%;;2020-05-26;
19525;2605202106S0001;2212313;26;Vide;Vide;276;882.02;38%;546.85;2020-05-27;
19526;2605202106S0001;2212313;26;5046;Nutri-Pulpe 1000ml - 8.026.380.050.468;6;24.9;38%;92.63;2020-05-27;
19527;2605202106S0001;2212313;26;5047;Nutri-Pulpe 500ml - 8.026.380.050.475;6;16.9;38%;62.87;2020-05-27;
19528;2605202106S0001;2212313;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;24;16.9;38%;251.47;2020-05-27;
19529;2605202106S0001;2212313;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;12;9.9;38%;73.66;2020-05-27;
19530;2605202106S0001;2212313;26;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;12;8.9;38%;66.22;2020-05-27;
19531;2605202106S0001;2212313;26;5064;Cœur d'Aloe Cube;60;;0%;;2020-05-27;
19532;2605202106S0001;2212313;26;5065;Totem Double Face;1;;0%;;2020-05-27;
19533;2605202106S0001;2212313;26;5150;Pop-Up Coeur D’Aloe Cube Offre Consommateur;1;;0%;;2020-05-27;
19534;2605202106S0001;2212313;26;5151;Réglette De Linéaire Aloe Vera;1;;0%;;2020-05-27;
19535;2605202106S0001;2212313;26;5152;Présentoir de Comptoir Gamme Aloe;1;;0%;;2020-05-27;
19536;2605202106S0001;2212313;26;5153;Présentoir de Sol Gamme Aloe;1;;0%;;2020-05-27;
19537;2605202106S0001;2212313;26;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;;0%;;2020-05-27;
19538;2605202106S0001;2212313;26;5156;Brochure Gamme Aloe Vera;50;;0%;;2020-05-27;
19539;2605202106S0001;2212313;26;5177;Echantillon Nutri-Pulpe;50;;0%;;2020-05-27;
19540;2605202106S0001;2212313;26;5586;Echantillon Pur Gel;50;;0%;;2020-05-27;
19512;2805201743S0001;2211257;26;Vide;Vide;39;524.42;38%;325.14;2020-05-29;
19513;2805201743S0001;2211257;26;5047;Nutri-Pulpe 500ml - 8.026.380.050.475;6;16.9;38%;62.87;2020-05-29;
19514;2805201743S0001;2211257;26;5049;Nutri-Pulpe Pêche Blanche 500ml - 8.026.380.050.499;6;16.9;38%;62.87;2020-05-29;
19515;2805201743S0001;2211257;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;12;16.9;38%;125.74;2020-05-29;
19516;2805201743S0001;2211257;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;12;9.9;38%;73.66;2020-05-29;
19517;2805201743S0001;2211257;26;5151;Réglette De Linéaire Aloe Vera;1;;0%;;2020-05-29;
19518;2805201743S0001;2211257;26;5152;Présentoir de Comptoir Gamme Aloe;1;;0%;;2020-05-29;
19519;2805201743S0001;2211257;26;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;;0%;;2020-05-29;
19501;3005201234S0001;2249888;26;Vide;Vide;49;619.23;38%;383.92;2020-06-02;
19502;3005201234S0001;2249888;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;12;16.9;38%;125.74;2020-06-02;
19503;3005201234S0001;2249888;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;12;9.9;38%;73.66;2020-06-02;
19504;3005201234S0001;2249888;26;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;12;8.9;38%;66.22;2020-06-02;
19505;3005201234S0001;2249888;26;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;12;15.9;38%;118.3;2020-06-02;
19506;3005201234S0001;2249888;26;5151;Réglette De Linéaire Aloe Vera;1;;0%;;2020-06-02;
19487;0206202110S0001;2005046;26;Vide;Vide;367;1213.8;38%;752.56;2020-06-03;
19488;0206202110S0001;2005046;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;24;16.9;38%;251.47;2020-06-03;
19489;0206202110S0001;2005046;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;72;9.9;38%;441.94;2020-06-03;
19490;0206202110S0001;2005046;26;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;6;15.9;38%;59.15;2020-06-03;
19491;0206202110S0001;2005046;26;5064;Cœur d'Aloe Cube;60;;0%;;2020-06-03;
19492;0206202110S0001;2005046;26;5150;Pop-Up Coeur D’Aloe Cube Offre Consommateur;1;;0%;;2020-06-03;
19493;0206202110S0001;2005046;26;5151;Réglette De Linéaire Aloe Vera;1;;0%;;2020-06-03;
19494;0206202110S0001;2005046;26;5152;Présentoir de Comptoir Gamme Aloe;1;;0%;;2020-06-03;
19495;0206202110S0001;2005046;26;5153;Présentoir de Sol Gamme Aloe;1;;0%;;2020-06-03;
19496;0206202110S0001;2005046;26;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;;0%;;2020-06-03;
19497;0206202110S0001;2005046;26;5156;Brochure Gamme Aloe Vera;50;;0%;;2020-06-03;
19498;0206202110S0001;2005046;26;5177;Echantillon Nutri-Pulpe;50;;0%;;2020-06-03;
19499;0206202110S0001;2005046;26;5586;Echantillon Pur Gel;50;;0%;;2020-06-03;
19500;0206202110S0001;2005046;26;5869;Echantillon Nutri-Pulpe Goût Pêche Blanche;50;;0%;;2020-06-03;
19477;0306201835S0001;2269223;26;Vide;Vide;51;823.23;38%;510.4;2020-06-04;
19478;0306201835S0001;2269223;26;5046;Nutri-Pulpe 1000ml - 8.026.380.050.468;6;24.9;38%;92.63;2020-06-04;
19479;0306201835S0001;2269223;26;5047;Nutri-Pulpe 500ml - 8.026.380.050.475;6;16.9;38%;62.87;2020-06-04;
19480;0306201835S0001;2269223;26;5048;Nutri-Pulpe Pêche Blanche 1000ml - 8.026.380.050.482;6;24.9;38%;92.63;2020-06-04;
19481;0306201835S0001;2269223;26;5049;Nutri-Pulpe Pêche Blanche 500ml - 8.026.380.050.499;6;16.9;38%;62.87;2020-06-04;
19482;0306201835S0001;2269223;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;12;16.9;38%;125.74;2020-06-04;
19483;0306201835S0001;2269223;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;12;9.9;38%;73.66;2020-06-04;
19484;0306201835S0001;2269223;26;5151;Réglette De Linéaire Aloe Vera;1;;0%;;2020-06-04;
19485;0306201835S0001;2269223;26;5152;Présentoir de Comptoir Gamme Aloe;1;;0%;;2020-06-04;
19486;0306201835S0001;2269223;26;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;;0%;;2020-06-04;
19459;0406201815S0001;2242919;26;Vide;Vide;378;1800.61;38%;1116.38;2020-06-05;
19460;0406201815S0001;2242919;26;5046;Nutri-Pulpe 1000ml - 8.026.380.050.468;12;24.9;38%;185.26;2020-06-05;
19461;0406201815S0001;2242919;26;5047;Nutri-Pulpe 500ml - 8.026.380.050.475;24;16.9;38%;251.47;2020-06-05;
19462;0406201815S0001;2242919;26;5048;Nutri-Pulpe Pêche Blanche 1000ml - 8.026.380.050.482;6;24.9;38%;92.63;2020-06-05;
19463;0406201815S0001;2242919;26;5049;Nutri-Pulpe Pêche Blanche 500ml - 8.026.380.050.499;6;16.9;38%;62.87;2020-06-05;
19464;0406201815S0001;2242919;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;24;16.9;38%;251.47;2020-06-05;
19465;0406201815S0001;2242919;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;24;9.9;38%;147.31;2020-06-05;
19466;0406201815S0001;2242919;26;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;12;8.9;38%;66.22;2020-06-05;
19467;0406201815S0001;2242919;26;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;6;15.9;38%;59.15;2020-06-05;
19468;0406201815S0001;2242919;26;5064;Cœur d'Aloe Cube;60;;0%;;2020-06-05;
19469;0406201815S0001;2242919;26;5150;Pop-Up Coeur D’Aloe Cube Offre Consommateur;1;;0%;;2020-06-05;
19470;0406201815S0001;2242919;26;5151;Réglette De Linéaire Aloe Vera;1;;0%;;2020-06-05;
19471;0406201815S0001;2242919;26;5153;Présentoir de Sol Gamme Aloe;1;;0%;;2020-06-05;
19472;0406201815S0001;2242919;26;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;;0%;;2020-06-05;
19473;0406201815S0001;2242919;26;5156;Brochure Gamme Aloe Vera;50;;0%;;2020-06-05;
19474;0406201815S0001;2242919;26;5177;Echantillon Nutri-Pulpe;50;;0%;;2020-06-05;
19475;0406201815S0001;2242919;26;5586;Echantillon Pur Gel;50;;0%;;2020-06-05;
19476;0406201815S0001;2242919;26;5869;Echantillon Nutri-Pulpe Goût Pêche Blanche;50;;0%;;2020-06-05;
19442;0506201436S0001;2287326;26;Vide;Vide;331;893.42;38%;553.92;2020-06-08;
19443;0506201436S0001;2287326;26;5048;Nutri-Pulpe Pêche Blanche 1000ml - 8.026.380.050.482;6;24.9;38%;92.63;2020-06-08;
19444;0506201436S0001;2287326;26;5049;Nutri-Pulpe Pêche Blanche 500ml - 8.026.380.050.499;6;16.9;38%;62.87;2020-06-08;
19445;0506201436S0001;2287326;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;12;16.9;38%;125.74;2020-06-08;
19446;0506201436S0001;2287326;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;24;9.9;38%;147.31;2020-06-08;
19447;0506201436S0001;2287326;26;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;12;8.9;38%;66.22;2020-06-08;
19448;0506201436S0001;2287326;26;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;6;15.9;38%;59.15;2020-06-08;
19449;0506201436S0001;2287326;26;5064;Cœur d'Aloe Cube;60;;0%;;2020-06-08;
19450;0506201436S0001;2287326;26;5065;Totem Double Face;1;;0%;;2020-06-08;
19451;0506201436S0001;2287326;26;5150;Pop-Up Coeur D’Aloe Cube Offre Consommateur;1;;0%;;2020-06-08;
19452;0506201436S0001;2287326;26;5152;Présentoir de Comptoir Gamme Aloe;1;;0%;;2020-06-08;
19453;0506201436S0001;2287326;26;5153;Présentoir de Sol Gamme Aloe;1;;0%;;2020-06-08;
19454;0506201436S0001;2287326;26;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;;0%;;2020-06-08;
19455;0506201436S0001;2287326;26;5156;Brochure Gamme Aloe Vera;50;;0%;;2020-06-08;
19456;0506201436S0001;2287326;26;5177;Echantillon Nutri-Pulpe;50;;0%;;2020-06-08;
19457;0506201436S0001;2287326;26;5586;Echantillon Pur Gel;50;;0%;;2020-06-08;
19458;0506201436S0001;2287326;26;5869;Echantillon Nutri-Pulpe Goût Pêche Blanche;50;;0%;;2020-06-08;
8389;0506200918S0017;2284367;53;Vide;Vide;49;625.23;38%;387.64;2020-06-11;
8390;0506200918S0017;2284367;53;5049;Nutri-Pulpe Pêche Blanche 500ml - 8.026.380.050.499;6;16.9;38%;62.87;2020-06-11;
8391;0506200918S0017;2284367;53;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;12;16.9;38%;125.74;2020-06-11;
8392;0506200918S0017;2284367;53;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;12;9.9;38%;73.66;2020-06-11;
8393;0506200918S0017;2284367;53;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;12;8.9;38%;66.22;2020-06-11;
8394;0506200918S0017;2284367;53;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;6;15.9;38%;59.15;2020-06-11;
8395;0506200918S0017;2284367;53;5151;Réglette De Linéaire Aloe Vera;1;;0%;;2020-06-11;
2235;1206201158S0013;2274610;37;Vide;Vide;213;1238.39;38%;767.8;2020-06-15;
2236;1206201158S0013;2274610;37;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;24;16.9;38%;251.47;2020-06-15;
2237;1206201158S0013;2274610;37;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;24;9.9;38%;147.31;2020-06-15;
2238;1206201158S0013;2274610;37;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;24;8.9;38%;132.43;2020-06-15;
2239;1206201158S0013;2274610;37;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;24;15.9;38%;236.59;2020-06-15;
2240;1206201158S0013;2274610;37;5064;Cœur d'aloe cube;60;0;0%;0;2020-06-15;
2241;1206201158S0013;2274610;37;5065;Totem Double Face;1;0;0%;0;2020-06-15;
2242;1206201158S0013;2274610;37;5150;Pop-Up Coeur D’Aloe Cube Offre Consommateur;1;0;0%;0;2020-06-15;
2243;1206201158S0013;2274610;37;5151;Réglette de linéaire Aloe Vera;2;0;0%;0;2020-06-15;
2244;1206201158S0013;2274610;37;5152;Présentoir de Comptoir Gamme Aloe;1;0;0%;0;2020-06-15;
2245;1206201158S0013;2274610;37;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;0;0%;0;2020-06-15;
2246;1206201158S0013;2274610;37;5155;Présentoir de Comptoir Aloe-Oil;1;0;0%;0;2020-06-15;
2247;1206201158S0013;2274610;37;5156;Brochure Gamme Aloe Vera;50;0;0%;0;2020-06-15;
2248;1206201158S0013;2274610;37;Vide;Vide;213;1238.39;38%;767.8;2020-06-15;
2249;1206201158S0013;2274610;37;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;24;16.9;38%;251.47;2020-06-15;
2250;1206201158S0013;2274610;37;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;24;9.9;38%;147.31;2020-06-15;
2251;1206201158S0013;2274610;37;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;24;8.9;38%;132.43;2020-06-15;
2252;1206201158S0013;2274610;37;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;24;15.9;38%;236.59;2020-06-15;
2253;1206201158S0013;2274610;37;5064;Cœur d'aloe cube;60;0;0%;0;2020-06-15;
2254;1206201158S0013;2274610;37;5065;Totem Double Face;1;0;0%;0;2020-06-15;
2255;1206201158S0013;2274610;37;5150;Pop-Up Coeur D’Aloe Cube Offre Consommateur;1;0;0%;0;2020-06-15;
2256;1206201158S0013;2274610;37;5151;Réglette de linéaire Aloe Vera;2;0;0%;0;2020-06-15;
2257;1206201158S0013;2274610;37;5152;Présentoir de Comptoir Gamme Aloe;1;0;0%;0;2020-06-15;
2258;1206201158S0013;2274610;37;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;0;0%;0;2020-06-15;
2259;1206201158S0013;2274610;37;5155;Présentoir de Comptoir Aloe-Oil;1;0;0%;0;2020-06-15;
2260;1206201158S0013;2274610;37;5156;Brochure Gamme Aloe Vera;50;0;0%;0;2020-06-15;
2261;1206201158S0011;2274610;37;Vide;Vide;213;1238.39;38%;767.8;2020-06-15;
2262;1206201158S0011;2274610;37;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;24;16.9;38%;251.47;2020-06-15;
2263;1206201158S0011;2274610;37;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;24;9.9;38%;147.31;2020-06-15;
2264;1206201158S0011;2274610;37;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;24;8.9;38%;132.43;2020-06-15;
2265;1206201158S0011;2274610;37;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;24;15.9;38%;236.59;2020-06-15;
2266;1206201158S0011;2274610;37;5064;Cœur d'aloe cube;60;0;0%;0;2020-06-15;
2267;1206201158S0011;2274610;37;5065;Totem double face;1;0;0%;0;2020-06-15;
2268;1206201158S0011;2274610;37;5150;Pop-Up Coeur D’Aloe Cube Offre Consommateur;1;0;0%;0;2020-06-15;
2269;1206201158S0011;2274610;37;5151;Réglette de linéaire Aloe Vera;2;0;0%;0;2020-06-15;
2270;1206201158S0011;2274610;37;5152;Présentoir de Comptoir Gamme Aloe;1;0;0%;0;2020-06-15;
2271;1206201158S0011;2274610;37;5154;Grand aloe vera cartonné de linéaire ou vitrine;1;0;0%;0;2020-06-15;
2272;1206201158S0011;2274610;37;5155;Présentoir de Comptoir Aloe-Oil;1;0;0%;0;2020-06-15;
2273;1206201158S0011;2274610;37;5156;Brochure Gamme Aloe Vera;50;0;0%;0;2020-06-15;
5576;1206202024S0012;2053377;27;Vide;Vide;54;726.63;38%;450.51;2020-06-15;
5577;1206202024S0012;2053377;27;5047;Nutri-Pulpe 500ml - 8.026.380.050.475;6;16.9;38%;62.87;2020-06-15;
5578;1206202024S0012;2053377;27;5049;Nutri-Pulpe Pêche Blanche 500ml - 8.026.380.050.499;6;16.9;38%;62.87;2020-06-15;
5579;1206202024S0012;2053377;27;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;12;16.9;38%;125.74;2020-06-15;
5580;1206202024S0012;2053377;27;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;12;9.9;38%;73.66;2020-06-15;
5581;1206202024S0012;2053377;27;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;12;8.9;38%;66.22;2020-06-15;
5582;1206202024S0012;2053377;27;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;6;15.9;38%;59.15;2020-06-15;
8702;1206201158S0013;2274610;37;Vide;Vide;213;1238.39;38%;767.8;2020-06-15;
8703;1206201158S0013;2274610;37;5050;Pur Gel Feuille - 250ml - 8.026.380.050.505;24;16.9;38%;251.47;2020-06-15;
8704;1206201158S0013;2274610;37;5051;Pur Gel Flacon - 100ml - 8.026.380.050.512;24;9.9;38%;147.31;2020-06-15;
8705;1206201158S0013;2274610;37;5052;Aloe-Oil Huile Réparatrice - 50ml - 8.026.380.050.529;24;8.9;38%;132.43;2020-06-15;
8706;1206201158S0013;2274610;37;5053;Aloe-Oil Crème Réparatrice - 150ml - 8.026.380.050.536;24;15.9;38%;236.59;2020-06-15;
8707;1206201158S0013;2274610;37;5064;Cœur d'aloe cube;60;0;0%;0;2020-06-15;
8708;1206201158S0013;2274610;37;5065;Totem Double Face;1;0;0%;0;2020-06-15;
8709;1206201158S0013;2274610;37;5150;Pop-up cœur d'aloe cube offre consommateur;1;0;0%;0;2020-06-15;
8710;1206201158S0013;2274610;37;5151;Réglette de linéaire Aloe Vera;2;0;0%;0;2020-06-15;
8711;1206201158S0013;2274610;37;5152;Présentoir de Comptoir Gamme Aloe;1;0;0%;0;2020-06-15;
8712;1206201158S0013;2274610;37;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;1;0;0%;0;2020-06-15;
8713;1206201158S0013;2274610;37;5155;Présentoir de Comptoir Aloe-Oil;1;0;0%;0;2020-06-15;
8714;1206201158S0013;2274610;37;5156;Brochure Gamme Aloe Vera;50;0;0%;0;2020-06-15;
8715;1206201158S0013;2274610;37;Vide;Vide;213;1238.39;38%;767.8;2020-06-15;
8716;1206201158S0013;2274610;37;5050;Pur Gel Feuille - 250ml - 8.026.380.050.505;24;16.9;38%;251.47;2020-06-15;
8717;1206201158S0013;2274610;37;5051;Pur Gel Flacon - 100ml - 8.026.380.050.512;24;9.9;38%;147.31;2020-06-15;
8718;1206201158S0013;2274610;37;5052;Aloe-Oil Huile Réparatrice - 50ml - 8.026.380.050.529;24;8.9;38%;132.43;2020-06-15;
8719;1206201158S0013;2274610;37;5053;Aloe-Oil Crème Réparatrice - 150ml - 8.026.380.050.536;24;15.9;38%;236.59;2020-06-15;
8720;1206201158S0013;2274610;37;5064;Cœur d'aloe cube;60;0;0%;0;2020-06-15;
